Timestamp,Frame,TrackID,Class,Confidence,Gender,Age,X,Y,Width,Height
2.38,69,4,person,0.592,Man,28,480,325,35,95
2.41,70,1,person,0.739,Man,34,725,354,60,114
2.41,70,4,person,0.563,Man,28,481,325,36,91
2.45,71,1,person,0.766,Man,34,724,353,63,113
2.45,71,4,person,0.644,Man,28,480,324,34,81
2.48,72,1,person,0.728,Man,34,723,354,60,113
2.48,72,4,person,0.744,Man,28,480,320,43,96
2.52,73,1,person,0.779,Man,34,722,354,55,112
2.52,73,4,person,0.68,Man,28,480,318,47,101
2.55,74,1,person,0.706,Man,34,722,354,52,113
2.55,74,4,person,0.683,Man,28,477,320,42,98
2.59,75,1,person,0.775,Man,34,722,352,58,113
2.59,75,4,person,0.626,Man,28,478,322,37,79
2.62,76,1,person,0.767,Man,34,721,348,63,111
2.62,76,4,person,0.577,Man,28,478,322,35,78
2.66,77,1,person,0.772,Man,34,722,347,64,108
2.66,77,4,person,0.749,Man,28,477,321,43,91
2.69,78,1,person,0.77,Man,34,725,346,58,107
2.69,78,4,person,0.725,Man,28,476,318,54,97
2.72,79,1,person,0.707,Man,34,724,346,53,103
2.72,79,4,person,0.535,Man,28,476,318,40,99
2.76,80,1,person,0.748,Man,34,724,344,49,110
2.76,80,4,person,0.69,Man,28,475,319,34,98
2.79,81,1,person,0.81,Man,34,721,342,57,111
2.79,81,4,person,0.668,Man,28,475,321,33,95
2.83,82,1,person,0.709,Man,34,720,341,66,113
2.83,82,4,person,0.702,Man,28,474,318,44,98
2.86,83,1,person,0.677,Man,34,717,341,72,113
2.86,83,4,person,0.597,Man,28,474,316,43,98
2.9,84,1,person,0.663,Man,34,718,342,63,112
2.9,84,4,person,0.566,Man,28,473,315,39,79
2.93,85,1,person,0.749,Man,34,718,342,59,112
2.93,85,4,person,0.523,Man,28,473,314,37,73
2.97,86,1,person,0.737,Man,34,720,340,57,111
2.97,86,4,person,0.648,Man,28,473,315,36,80
3.0,87,1,person,0.745,Man,34,723,336,61,116
3.0,87,4,person,0.639,Man,28,473,317,34,74
3.03,88,1,person,0.78,Man,34,722,335,70,119
3.03,88,4,person,0.538,Man,28,469,315,40,88
3.07,89,1,person,0.776,Man,34,723,335,64,114
3.07,89,4,person,0.529,Man,28,470,314,46,97
3.1,90,1,person,0.681,Man,34,726,336,55,106
3.14,91,1,person,0.777,Man,34,727,337,50,98
3.14,91,4,person,0.626,Man,28,472,312,38,95
3.17,92,1,person,0.752,Man,34,732,336,45,109
3.17,92,4,person,0.654,Man,28,473,313,34,94
3.21,93,1,person,0.65,Man,34,732,334,48,115
3.21,93,4,person,0.56,Man,28,474,314,30,73
3.24,94,1,person,0.614,Man,34,730,334,48,111
3.24,94,4,person,0.623,Man,28,473,312,32,80
3.28,95,4,person,0.736,Man,28,472,309,45,94
3.31,96,4,person,0.68,Man,28,471,306,49,99
3.31,96,1,person,0.603,Man,34,736,340,42,109
3.34,97,4,person,0.785,Man,28,472,305,41,97
3.34,97,1,person,0.507,Man,34,738,343,39,93
3.38,98,4,person,0.758,Man,28,475,306,36,99
3.38,98,1,person,0.737,Man,34,736,341,47,106
3.41,99,4,person,0.635,Man,28,477,306,40,103
3.41,99,1,person,0.736,Man,34,733,341,57,110
3.45,100,4,person,0.523,Man,28,478,304,40,105
3.45,100,1,person,0.653,Man,34,733,341,59,111
3.48,101,4,person,0.564,Man,28,477,303,48,106
3.48,101,1,person,0.595,Man,34,732,343,52,109
3.52,102,4,person,0.616,Man,28,477,300,55,105
3.52,102,1,person,0.687,Man,34,730,347,47,99
3.55,103,4,person,0.585,Man,28,476,302,43,99
3.55,103,1,person,0.777,Man,34,729,348,46,110
3.59,104,4,person,0.661,Man,28,475,304,40,95
3.59,104,1,person,0.681,Man,34,727,348,48,112
3.62,105,4,person,0.731,Man,28,476,304,42,95
3.66,106,4,person,0.736,Man,28,478,302,42,100
3.66,106,1,person,0.61,Man,34,723,350,46,113
3.69,107,4,person,0.775,Man,28,478,300,47,104
3.69,107,1,person,0.612,Man,34,724,356,42,109
3.72,108,4,person,0.661,Man,28,479,300,47,102
3.72,108,1,person,0.672,Man,34,723,360,44,107
3.76,109,4,person,0.7,Man,28,479,302,45,99
3.76,109,1,person,0.67,Man,34,723,363,43,98
3.79,110,4,person,0.627,Man,28,481,306,44,95
3.79,110,1,person,0.695,Man,34,718,361,54,113
3.83,111,4,person,0.699,Man,28,489,308,35,91
3.83,111,1,person,0.709,Man,34,714,360,61,115
3.86,112,4,person,0.603,Man,28,492,308,35,92
3.86,112,1,person,0.731,Man,34,712,362,60,111
3.9,113,4,person,0.736,Man,28,493,307,45,99
3.9,113,1,person,0.685,Man,34,713,366,51,107
3.93,114,4,person,0.666,Man,28,495,306,50,102
3.93,114,1,person,0.663,Man,34,712,369,45,102
3.97,115,4,person,0.599,Man,28,497,308,50,103
3.97,115,1,person,0.771,Man,34,711,368,45,117
4.0,116,4,person,0.648,Man,28,498,311,48,102
4.0,116,1,person,0.744,Man,34,706,366,51,122
4.03,117,4,person,0.691,Man,28,499,311,47,103
4.03,117,1,person,0.623,Man,34,701,364,62,127
4.07,118,4,person,0.639,Man,28,501,309,42,101
4.07,118,1,person,0.608,Man,34,702,366,51,117
