epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,545.804,1.71801,2.96149,1.36057,0.4013,0.27076,0.29759,0.16075,1.80171,2.80874,1.40667,0.00055324,0.00055324,0.00055324
2,1039.39,1.75371,2.29797,1.36737,0.58247,0.32687,0.36717,0.18274,1.87097,2.48552,1.39485,0.000889343,0.000889343,0.000889343
3,1551.93,1.71051,1.97394,1.328,0.58886,0.53098,0.5234,0.29336,1.6203,1.86704,1.24629,0.0010054,0.0010054,0.0010054
4,2036.57,1.63605,1.71758,1.28961,0.68948,0.55502,0.63729,0.38649,1.58444,1.6385,1.18876,0.000676802,0.000676802,0.000676802
5,2514.71,1.55457,1.59033,1.24331,0.75687,0.62802,0.696,0.45021,1.49853,1.40326,1.14669,0.000346736,0.000346736,0.000346736
