epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,939.489,1.7609,3.36273,1.4451,0.4916,0.35749,0.36378,0.16876,1.77016,3.03522,1.42383,0.000553399,0.000553399,0.000553399
2,1832.52,1.74591,2.50549,1.42676,0.54786,0.4977,0.504,0.24532,1.80329,2.25495,1.40692,0.00088947,0.00088947,0.00088947
3,2753.71,1.70499,2.10183,1.38979,0.61969,0.53028,0.57422,0.30339,1.6443,1.96436,1.34921,0.0010055,0.0010055,0.0010055
4,3689.6,1.66887,1.89148,1.34644,0.6872,0.59199,0.63086,0.3508,1.56992,1.66529,1.25155,0.000676802,0.000676802,0.000676802
5,4594.4,1.5857,1.64958,1.27591,0.68062,0.60272,0.68614,0.39079,1.49418,1.57068,1.20371,0.000346736,0.000346736,0.000346736
