epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2043.36,1.74024,2.62477,1.26875,0.43995,0.36281,0.32423,0.15345,1.78251,2.34583,1.28605,0.000553814,0.000553814,0.000553814
2,3488.67,1.77096,1.98704,1.29622,0.5145,0.49782,0.51868,0.27229,1.72028,1.84659,1.21804,0.000889804,0.000889804,0.000889804
3,4981.06,1.73475,1.75756,1.25784,0.72362,0.56962,0.63004,0.36701,1.62518,1.59569,1.1607,0.00100575,0.00100575,0.00100575
4,6692.17,1.6467,1.5759,1.21192,0.70862,0.63495,0.66492,0.4008,1.58198,1.4858,1.15338,0.000676802,0.000676802,0.000676802
5,8145.3,1.5481,1.42972,1.17117,0.70883,0.64933,0.7026,0.458,1.46216,1.36195,1.0932,0.000346736,0.000346736,0.000346736
